token	count	p
के	52	0.04000000
में	40	0.03076923
की	34	0.02615385
से	31	0.02384615
है	31	0.02384615
ने	24	0.01846154
को	23	0.01769231
,	22	0.01692308
पर	19	0.01461538
और	18	0.01384615
भी	12	0.00923077
कि	11	0.00846154
का	10	0.00769231
हैं	10	0.00769231
लिए	9	0.00692308
ही	9	0.00692308
था	8	0.00615385
यह	8	0.00615385
हो	8	0.00615385
कर	7	0.00538462
करने	7	0.00538462
किया	7	0.00538462
बात	7	0.00538462
-	6	0.00461538
इस	6	0.00461538
ओमप्रकाश	6	0.00461538
थी	6	0.00461538
देवीलाल	6	0.00461538
पार्टी	6	0.00461538
लोगों	6	0.00461538
साथ	6	0.00461538
उनके	5	0.00384615
गई	5	0.00384615
चौटाला	5	0.00384615
जा	5	0.00384615
नहीं	5	0.00384615
उनकी	4	0.00307692
उस	4	0.00307692
एक	4	0.00307692
कंपनी	4	0.00307692
गया	4	0.00307692
चेक	4	0.00307692
छात्र	4	0.00307692
थे	4	0.00307692
दिए	4	0.00307692
दी	4	0.00307692
बताया	4	0.00307692
रणजीत	4	0.00307692
रन	4	0.00307692
लेकिन	4	0.00307692
सरकार	4	0.00307692
अपने	3	0.00230769
आज	3	0.00230769
इसके	3	0.00230769
ओर	3	0.00230769
कई	3	0.00230769
करोड़	3	0.00230769
कलेक्टर	3	0.00230769
कहा	3	0.00230769
काफी	3	0.00230769
छात्रों	3	0.00230769
जनता	3	0.00230769
जारी	3	0.00230769
दिया	3	0.00230769
द्वारा	3	0.00230769
पकड़	3	0.00230769
पैसे	3	0.00230769
बाद	3	0.00230769
बैंक	3	0.00230769
रहे	3	0.00230769
रुपये	3	0.00230769
शाखा	3	0.00230769
शेर	3	0.00230769
सकता	3	0.00230769
सामने	3	0.00230769
सिंह	3	0.00230769
हमने	3	0.00230769
हमारे	3	0.00230769
होगा	3	0.00230769
"	2	0.00153846
'	2	0.00153846
200	2	0.00153846
:	2	0.00153846
अकाउंट	2	0.00153846
अनुसार	2	0.00153846
अपना	2	0.00153846
अपनी	2	0.00153846
आई	2	0.00153846
इसमें	2	0.00153846
उतना	2	0.00153846
उत्तराधिकारी	2	0.00153846
उन्होंने	2	0.00153846
उपप्रधानमंत्री	2	0.00153846
ऐसे	2	0.00153846
ऑफ	2	0.00153846
करके	2	0.00153846
करा	2	0.00153846
कराया	2	0.00153846
करीब	2	0.00153846
कलेक्टोरेट	2	0.00153846
काम	2	0.00153846
किए	2	0.00153846
किसी	2	0.00153846
केंद्र	2	0.00153846
कोई	2	0.00153846
कोलकाता	2	0.00153846
क्वालिटी	2	0.00153846
खतरा	2	0.00153846
गए	2	0.00153846
चलते	2	0.00153846
चीनी	2	0.00153846
चुकी	2	0.00153846
जमकर	2	0.00153846
जलवायु	2	0.00153846
जाने	2	0.00153846
जितना	2	0.00153846
जिसकी	2	0.00153846
जेल	2	0.00153846
जो	2	0.00153846
जोड़	2	0.00153846
टिगुआन	2	0.00153846
टूर्नामेंट	2	0.00153846
तक	2	0.00153846
तब	2	0.00153846
तीन	2	0.00153846
तैयार	2	0.00153846
तैयारी	2	0.00153846
तौर	2	0.00153846
दिल्ली	2	0.00153846
दें	2	0.00153846
दो	2	0.00153846
नया	2	0.00153846
नाबाद	2	0.00153846
परिवर्तन	2	0.00153846
पहुंचे	2	0.00153846
पाकिस्तानी	2	0.00153846
पिछले	2	0.00153846
पुरस्कार	2	0.00153846
पुष्टि	2	0.00153846
प्रदेश	2	0.00153846
प्रबंधक	2	0.00153846
फायरिंग	2	0.00153846
फोटो	2	0.00153846
बजे	2	0.00153846
बड़ौदा	2	0.00153846
बता	2	0.00153846
बनाए	2	0.00153846
बनाने	2	0.00153846
बीच	2	0.00153846
बॉर्डर	2	0.00153846
भारत	2	0.00153846
मजबूत	2	0.00153846
मुकेश	2	0.00153846
मैच	2	0.00153846
रमेश	2	0.00153846
रहते	2	0.00153846
रहना	2	0.00153846
रहा	2	0.00153846
राजनीतिक	2	0.00153846
राजस्थान	2	0.00153846
राष्ट्रीय	2	0.00153846
लगा	2	0.00153846
लगे	2	0.00153846
लिये	2	0.00153846
ली	2	0.00153846
लेकर	2	0.00153846
व	2	0.00153846
वर्षीय	2	0.00153846
व्यापारी	2	0.00153846
शेरनी	2	0.00153846
सकते	2	0.00153846
समय	2	0.00153846
समाचार	2	0.00153846
सुबह	2	0.00153846
सूचना	2	0.00153846
स्तर	2	0.00153846
हम	2	0.00153846
हरियाणा	2	0.00153846
हुआ	2	0.00153846
हुई	2	0.00153846
हुए	2	0.00153846
होने	2	0.00153846
(	1	0.00076923
)	1	0.00076923
10	1	0.00076923
17	1	0.00076923
176	1	0.00076923
1987	1	0.00076923
1989	1	0.00076923
27	1	0.00076923
30	1	0.00076923
35	1	0.00076923
36	1	0.00076923
40	1	0.00076923
47	1	0.00076923
49	1	0.00076923
50	1	0.00076923
6	1	0.00076923
76	1	0.00076923
97	1	0.00076923
ADM	1	0.00076923
AIRLINES	1	0.00076923
INVEST	1	0.00076923
PACIFIC	1	0.00076923
ROYAL	1	0.00076923
SDM	1	0.00076923
VW	1	0.00076923
अंतरराष्ट्रीय	1	0.00076923
अगली	1	0.00076923
अच्छा	1	0.00076923
अच्छी	1	0.00076923
अडिग	1	0.00076923
अधिक	1	0.00076923
अफ्रीकन	1	0.00076923
अब	1	0.00076923
अबतक	1	0.00076923
अभी	1	0.00076923
अमेरिकी	1	0.00076923
अर्जुन	1	0.00076923
अलग	1	0.00076923
अवगत	1	0.00076923
असर	1	0.00076923
अस्थमा	1	0.00076923
अहमदाबाद	1	0.00076923
अड़े	1	0.00076923
आ	1	0.00076923
आंखों	1	0.00076923
आईआईएम	1	0.00076923
आखिरकार	1	0.00076923
आतंकवाद	1	0.00076923
आता	1	0.00076923
आदेश	1	0.00076923
आपके	1	0.00076923
आरोप	1	0.00076923
आर्चर	1	0.00076923
आस	1	0.00076923
इंकार	1	0.00076923
इंडेक्स	1	0.00076923
इकट्ठा	1	0.00076923
इतना	1	0.00076923
इतनी	1	0.00076923
इनेलो	1	0.00076923
इलाके	1	0.00076923
इसकी	1	0.00076923
इसी	1	0.00076923
इसे	1	0.00076923
इस्तीफे	1	0.00076923
उन	1	0.00076923
उनका	1	0.00076923
उनमें	1	0.00076923
उन्नत	1	0.00076923
उप	1	0.00076923
उपलब्ध	1	0.00076923
उबरते	1	0.00076923
उम्मीद	1	0.00076923
उसका	1	0.00076923
उसमें	1	0.00076923
उसे	1	0.00076923
एक्यूआई	1	0.00076923
एजेंसी	1	0.00076923
एबीवीपी	1	0.00076923
एमओयू	1	0.00076923
एमबीए	1	0.00076923
एयर	1	0.00076923
एलईडी	1	0.00076923
एसडीएम	1	0.00076923
कड़ा	1	0.00076923
कथित	1	0.00076923
कप	1	0.00076923
करवाई	1	0.00076923
कराएंगे	1	0.00076923
करोलबाग	1	0.00076923
कहने	1	0.00076923
कही	1	0.00076923
कारण	1	0.00076923
कारीगरी	1	0.00076923
कार्तिक	1	0.00076923
किन्तु	1	0.00076923
किये	1	0.00076923
कुमार	1	0.00076923
कूद	1	0.00076923
कूदा	1	0.00076923
कृष्णा	1	0.00076923
केन्द्र	1	0.00076923
कैबिनेट	1	0.00076923
कॉलेज	1	0.00076923
कोशिश	1	0.00076923
क्रमांक	1	0.00076923
क्रिकेट	1	0.00076923
क्रीज	1	0.00076923
क्लासिक	1	0.00076923
क्षेत्र	1	0.00076923
खड़ी	1	0.00076923
खतरनाक	1	0.00076923
खाते	1	0.00076923
खामोश	1	0.00076923
खास	1	0.00076923
खेल	1	0.00076923
खेलने	1	0.00076923
गंभीर	1	0.00076923
गति	1	0.00076923
गबन	1	0.00076923
गलती	1	0.00076923
गलियारे	1	0.00076923
गहरी	1	0.00076923
गायब	1	0.00076923
गाड़ियों	1	0.00076923
गुलाबी	1	0.00076923
गृह	1	0.00076923
गेंद	1	0.00076923
गेट	1	0.00076923
घंटे	1	0.00076923
घटा	1	0.00076923
घाटी	1	0.00076923
घोटाले	1	0.00076923
घोषित	1	0.00076923
चयन	1	0.00076923
चयनित	1	0.00076923
चर्चा	1	0.00076923
चांदी	1	0.00076923
चाहता	1	0.00076923
चाहिए	1	0.00076923
चिकित्सकों	1	0.00076923
चित्त	1	0.00076923
चिह्नित	1	0.00076923
चीन	1	0.00076923
चुके	1	0.00076923
चूमना	1	0.00076923
चेंबर	1	0.00076923
चेहरे	1	0.00076923
चैम्पियंस	1	0.00076923
चौ	1	0.00076923
छीन	1	0.00076923
जंग	1	0.00076923
जगदीश	1	0.00076923
जब	1	0.00076923
जब्त	1	0.00076923
जमा	1	0.00076923
जरूरी	1	0.00076923
जहां	1	0.00076923
जांच	1	0.00076923
जाएंगे	1	0.00076923
जाएगा	1	0.00076923
जाकर	1	0.00076923
जाते	1	0.00076923
जानकारी	1	0.00076923
जानलेवा	1	0.00076923
जिनकी	1	0.00076923
जिला	1	0.00076923
जिले	1	0.00076923
जिस	1	0.00076923
जिसके	1	0.00076923
जिसपर	1	0.00076923
जिसे	1	0.00076923
जीत	1	0.00076923
जूलॉजिकल	1	0.00076923
जैसा	1	0.00076923
जैसे	1	0.00076923
जोफ्रा	1	0.00076923
ज्यादा	1	0.00076923
झूठ	1	0.00076923
टच	1	0.00076923
टीबी	1	0.00076923
टीम	1	0.00076923
टूटने	1	0.00076923
टोही	1	0.00076923
ट्रांसफर	1	0.00076923
ट्राफी	1	0.00076923
ट्रेनों	1	0.00076923
डबल	1	0.00076923
डिज़ाइन	1	0.00076923
डीएम	1	0.00076923
डीपीए	1	0.00076923
ड्रग्स	1	0.00076923
ड्रोन	1	0.00076923
ढ़ीली	1	0.00076923
तबाही	1	0.00076923
तरीके	1	0.00076923
ताकि	1	0.00076923
तो	1	0.00076923
त्रिपाठी	1	0.00076923
थीम	1	0.00076923
दक्षिण	1	0.00076923
दर्शाया	1	0.00076923
दस	1	0.00076923
दिन	1	0.00076923
दिनो	1	0.00076923
दिल्	1	0.00076923
दिवाकर	1	0.00076923
दुनिया	1	0.00076923
दृष्टया	1	0.00076923
दे	1	0.00076923
देखने	1	0.00076923
देखा	1	0.00076923
देखे	1	0.00076923
देना	1	0.00076923
देवांगन	1	0.00076923
देश	1	0.00076923
देशभर	1	0.00076923
देशों	1	0.00076923
दोराहे	1	0.00076923
दोहरे	1	0.00076923
द्वीप	1	0.00076923
धन	1	0.00076923
धनंजय	1	0.00076923
धरने	1	0.00076923
नंबर	1	0.00076923
नजर	1	0.00076923
नरेंद्र	1	0.00076923
नवीन	1	0.00076923
नशे	1	0.00076923
नाम	1	0.00076923
नाराजगी	1	0.00076923
नारे	1	0.00076923
नारेबाजी	1	0.00076923
निकाल	1	0.00076923
निर्णय	1	0.00076923
नींद	1	0.00076923
नीरज	1	0.00076923
नेता	1	0.00076923
नेवी	1	0.00076923
नेहरू	1	0.00076923
पड़ा	1	0.00076923
पराग	1	0.00076923
परिवार	1	0.00076923
परिस्थितियों	1	0.00076923
पवार	1	0.00076923
पश्चात्	1	0.00076923
पश्चिमी	1	0.00076923
पहले	1	0.00076923
पाक	1	0.00076923
पाकिस्तान	1	0.00076923
पाया	1	0.00076923
पार	1	0.00076923
पार्क	1	0.00076923
पीएमजीएसवाई	1	0.00076923
पुत्र	1	0.00076923
पूछने	1	0.00076923
पूर्व	1	0.00076923
पैट्रीकियो	1	0.00076923
पैडलर	1	0.00076923
पैसा	1	0.00076923
प्रतिनिधि	1	0.00076923
प्रतिनिधिमंडल	1	0.00076923
प्रतिबद्धता	1	0.00076923
प्रतिरोध	1	0.00076923
प्रतिशत	1	0.00076923
प्रतीत	1	0.00076923
प्रथम	1	0.00076923
प्रदूषण	1	0.00076923
प्रधानमंत्री	1	0.00076923
प्रभारी	1	0.00076923
प्रभावी	1	0.00076923
प्रशासन	1	0.00076923
प्रियंका	1	0.00076923
प्रोफाइल	1	0.00076923
पढ़ें	1	0.00076923
फंसाने	1	0.00076923
फर्जी	1	0.00076923
फिटमेंट	1	0.00076923
फैसले	1	0.00076923
फैसलों	1	0.00076923
फॉक्सवैगन	1	0.00076923
फ्रंट	1	0.00076923
बगावत	1	0.00076923
बगैर	1	0.00076923
बच	1	0.00076923
बड़ा	1	0.00076923
बड़े	1	0.00076923
बदौलत	1	0.00076923
बनने	1	0.00076923
बनाकर	1	0.00076923
बनाया	1	0.00076923
बनाये	1	0.00076923
बने	1	0.00076923
बयान	1	0.00076923
बहुत	1	0.00076923
बाक़ायदा	1	0.00076923
बागडोर	1	0.00076923
बाड़े	1	0.00076923
बाबर	1	0.00076923
बावजूद	1	0.00076923
बाड़े	1	0.00076923
बिलों	1	0.00076923
बिल्कुल	1	0.00076923
बीते	1	0.00076923
बुखार	1	0.00076923
बुधवार	1	0.00076923
बेटों	1	0.00076923
बेसिक्स	1	0.00076923
बेहतर	1	0.00076923
बैठे	1	0.00076923
बॉलीवुड	1	0.00076923
बड़ी	1	0.00076923
बड़े	1	0.00076923
बढ़ाने	1	0.00076923
भले	1	0.00076923
भाजपा	1	0.00076923
भारतीय	1	0.00076923
भुगतान	1	0.00076923
भेजना	1	0.00076923
भेजा	1	0.00076923
भेजे	1	0.00076923
भड़क	1	0.00076923
मंडल	1	0.00076923
मंत्रालय	1	0.00076923
मंत्रियों	1	0.00076923
मंत्री	1	0.00076923
मछोदरी	1	0.00076923
मरने	1	0.00076923
मरीजों	1	0.00076923
माध्यम	1	0.00076923
मानने	1	0.00076923
मामला	1	0.00076923
मामले	1	0.00076923
मार्ग	1	0.00076923
मार्गों	1	0.00076923
माल	1	0.00076923
माहेश्वरी	1	0.00076923
मिलकर	1	0.00076923
मिलाना	1	0.00076923
मिली	1	0.00076923
मीडिया	1	0.00076923
मीनाकारी	1	0.00076923
मुंबई	1	0.00076923
मुकाबला	1	0.00076923
मुर्दाबाद	1	0.00076923
मुलाकात	1	0.00076923
मेरठ	1	0.00076923
मैगलगंज	1	0.00076923
मैट्रिक्स	1	0.00076923
मोदी	1	0.00076923
मोदीपुरम	1	0.00076923
मोबाइल	1	0.00076923
मौके	1	0.00076923
या	1	0.00076923
युवक	1	0.00076923
युवा	1	0.00076923
ये	1	0.00076923
रक्षा	1	0.00076923
रखती	1	0.00076923
रखते	1	0.00076923
रखेंगे	1	0.00076923
रथ	1	0.00076923
रहने	1	0.00076923
रही	1	0.00076923
राजधानी	1	0.00076923
राजनीति	1	0.00076923
रात	1	0.00076923
राधिका	1	0.00076923
राशि	1	0.00076923
रिटर्न	1	0.00076923
रियान	1	0.00076923
री	1	0.00076923
रूप	1	0.00076923
रोसेंडे	1	0.00076923
लगाने	1	0.00076923
लाइनों	1	0.00076923
लागू	1	0.00076923
लाल	1	0.00076923
लालच	1	0.00076923
लिया	1	0.00076923
लीक	1	0.00076923
लेते	1	0.00076923
लैब	1	0.00076923
लोगो	1	0.00076923
लौटाने	1	0.00076923
वक्त	1	0.00076923
वह	1	0.00076923
वादा	1	0.00076923
वापस	1	0.00076923
वायरस	1	0.00076923
वाले	1	0.00076923
विकेट	1	0.00076923
विक्टोरिया	1	0.00076923
विपरीत	1	0.00076923
विमान	1	0.00076923
विराजमान	1	0.00076923
विरासत	1	0.00076923
विरोध	1	0.00076923
विश्व	1	0.00076923
विश्वकर्मा	1	0.00076923
वीडियो	1	0.00076923
वे	1	0.00076923
वेबसाइट	1	0.00076923
वो	1	0.00076923
व्यक्त	1	0.00076923
व्यस्त	1	0.00076923
वक़्त	1	0.00076923
शत	1	0.00076923
शनिवार	1	0.00076923
शरद	1	0.00076923
शराब	1	0.00076923
शांत	1	0.00076923
शामिल	1	0.00076923
शिप	1	0.00076923
शुरू	1	0.00076923
श्रीकृष्ण	1	0.00076923
श्रीगंगानगर	1	0.00076923
संख्या	1	0.00076923
संगठन	1	0.00076923
संचालित	1	0.00076923
संबंधी	1	0.00076923
संभव	1	0.00076923
सके	1	0.00076923
सकें	1	0.00076923
सक्रिय	1	0.00076923
सफाई	1	0.00076923
सबूत	1	0.00076923
समझाने	1	0.00076923
समर्थन	1	0.00076923
समस्याओं	1	0.00076923
सरल	1	0.00076923
सर्वे	1	0.00076923
सहकारी	1	0.00076923
सहयोग	1	0.00076923
सहित	1	0.00076923
सागर	1	0.00076923
साधारण	1	0.00076923
साफ	1	0.00076923
सामर्थ्य	1	0.00076923
सामान्य	1	0.00076923
साल	1	0.00076923
सालों	1	0.00076923
सिर्फ	1	0.00076923
सीतापुर	1	0.00076923
सीमा	1	0.00076923
सुप्रीमो	1	0.00076923
सुविधा	1	0.00076923
सूज	1	0.00076923
सेलिब्रिटीज	1	0.00076923
सेशेल्स	1	0.00076923
सेहत	1	0.00076923
सैंपल	1	0.00076923
सोशलाइट्स	1	0.00076923
स्थानांरित	1	0.00076923
स्थिति	1	0.00076923
स्लाइड	1	0.00076923
हजार	1	0.00076923
हमारी	1	0.00076923
हमें	1	0.00076923
हरकतों	1	0.00076923
हरदोई	1	0.00076923
हवाले	1	0.00076923
हस्तशिल्पियों	1	0.00076923
हाथ	1	0.00076923
हाथों	1	0.00076923
हादसा	1	0.00076923
हालांकि	1	0.00076923
हावड़ा	1	0.00076923
हिंदुमलकोट	1	0.00076923
हैद्ध	1	0.00076923
